index,category
16371,Fruits
16372,Fruits
16373,Fruits
16374,Fruits
16375,Fruits
16381,Fruits
16382,Fruits
16383,Fruits
18822,Fruits
16388,Fruits
16389,Fruits
16392,Fruits
16393,Fruits
16401,Fruits
16402,Fruits
16400,Fruits
16403,Fruits
18823,Fruits
16426,Fruits
16427,Fruits
16450,Fruits
16451,Fruits
18824,Fruits
16549,Fruits
16548,Fruits
16556,Fruits
16557,Fruits
16577,Fruits
16576,Fruits
18825,Fruits
16602,Fruits
16601,Fruits
16676,Fruits
16675,Fruits
16708,Fruits
16707,Fruits
16751,Fruits
16753,Fruits
16752,Fruits
16754,Fruits
16755,Fruits
16756,Fruits
18826,Fruits
16888,Fruits
16898,Fruits
16899,Fruits
16996,Fruits
18827,Fruits
17004,Fruits
17005,Fruits
17007,Fruits
17006,Fruits
17008,Fruits
17009,Fruits
17010,Fruits
17051,Fruits
17050,Fruits
17065,Fruits
18828,Fruits
17076,Fruits
18840,Fruits
17151,Fruits
17169,Fruits
17183,Fruits
17184,Fruits
17185,Fruits
18829,Fruits
17226,Fruits
17227,Fruits
17228,Fruits
17229,Fruits
17230,Fruits
17280,Fruits
17295,Fruits
17296,Fruits
17297,Fruits
17299,Fruits
17298,Fruits
17304,Fruits
17305,Fruits
17302,Fruits
17303,Fruits
17306,Fruits
17307,Fruits
17308,Fruits
17309,Fruits
17311,Fruits
17310,Fruits
17312,Fruits
17353,Fruits
17354,Fruits
17355,Fruits
17356,Fruits
17359,Fruits
17360,Fruits
17414,Fruits
17415,Fruits
17427,Fruits
17463,Fruits
17464,Fruits
17232,Fruits
17231,Fruits
18830,Fruits
17481,Fruits
17482,Fruits
18831,Fruits
17489,Fruits
17533,Fruits
17535,Fruits
17536,Fruits
17538,Fruits
17532,Fruits
17543,Fruits
17542,Fruits
17544,Fruits
17545,Fruits
17571,Fruits
18911,Fruits
17572,Fruits
17577,Fruits
17578,Fruits
17585,Fruits
18832,Fruits
17599,Fruits
17630,Fruits
17631,Fruits
18834,Fruits
19109,Fruits
17634,Fruits
17635,Fruits
17645,Fruits
17646,Fruits
17677,Fruits
19105,Fruits
