item_name,category,url,shelf_life,food_tips
AMERICAN CHEESE - SLICED AT GROCERY DELI COUNTER,Dairy & Eggs,https://www.stilltasty.com/Fooditems/index/18923,"{'Refrigerator': '2-3 weeks', 'Freezer': '6-8 months (best quality)'}","Shelf Life Tips
How long does sliced American deli cheese last? The exact answer to that question depends to a large extent on storage conditions  - after purchasing from the deli, keep sliced American deli cheese refrigerated at all times.

How long does sliced American deli cheese last after the sell-by date? After sliced American deli cheese is purchased from the deli, it may be refrigerated for 2 to 3 weeks - the ""sell-by"" date on the package may expire during that storage period, but the cheese will remain safe to use after the sell by date if it has been properly stored.

Unopened sliced American deli cheese may be kept in its original store deli packaging when refrigerating; to maximize the shelf life of the cheese, do not open the package until ready to use.

To further extend the shelf life of sliced American deli cheese, freeze; when freezing, place the cheese in the freezer before the number of days shown for refrigerator storage has elapsed.

You can maximize the shelf life of sliced American deli cheese in the freezer by wrapping the sliced cheese tightly in heavy-duty aluminum foil or plastic freezer wrap or place in heavy-duty freezer bags.

How long does sliced American deli cheese last in the freezer? Properly stored, it will maintain best quality for about 8 months, but will remain safe beyond that time.
 
The freezer time shown is for best quality only - American deli cheese that has been kept constantly frozen at 0°F will keep safe indefinitely. 

How long does sliced American deli cheese last after being frozen and thawed? Sliced American deli cheese that has been defrosted can be kept for an additional 3 to 4 days in the refrigerator before using; for best results, thaw cheese in the refrigerator. 

Frozen cheese may become crumbly and lose some of its flavor; the thawed slice American deli cheese will be best suited to cooked dishes, such as sauces, soups and casseroles.

How can you tell if sliced American deli cheese is bad or spoiled? The best way is to smell and look at the cheese: if cheese develops an off odor, flavor or appearance, it should be discarded; if mold appears, discard all of the sliced American deli cheese. "
"AMERICAN CHEESE, PASTEURIZED PROCESSED SLICES (INDIVIDUALLY WRAPPED) - OPENED PACKAGE",Dairy & Eggs,https://www.stilltasty.com/Fooditems/index/16348,"{'Refrigerator': '1-2 months', 'Freezer': '3 months'}","Shelf Life Tips
Keep refrigerated and tightly covered. If cheese slices develop an off odor, flavor or appearance, they should be discarded for quality purposes. To freeze: wrap cheese slices tightly in heavy-duty aluminum foil or plastic freezer wrap or place in heavy-duty freezer bags. Frozen cheese may become crumbly and lose some of its flavor; the thawed cheese will be best suited to cooked dishes, such as sauces, soups and casseroles. Freezer time shown is for best quality only - foods kept constantly frozen at 0°F will keep safe indefinitely. "
"AMERICAN CHEESE, PASTEURIZED PROCESSED SLICES (INDIVIDUALLY WRAPPED) - UNOPENED PACKAGE",Dairy & Eggs,https://www.stilltasty.com/Fooditems/index/16349,"{'Refrigerator': '1 month after date on package', 'Freezer': '3 months'}","Shelf Life Tips
Keep refrigerated. If cheese slices develop an off odor, flavor or appearance, they should be discarded for quality purposes.  To freeze, place original packaging in freezer; if freezing for longer than 2 months, place package inside a heavy-duty freezer bag in order to prevent freezer burn. Frozen cheese may become crumbly and lose some of its flavor; the thawed cheese will be best suited to cooked dishes, such as sauces, soups and casseroles. Freezer time shown is for best quality only - foods kept constantly frozen at 0°F will keep safe indefinitely. "
APPENZELLER CHEESE - SLICED AT GROCERY DELI COUNTER,Dairy & Eggs,https://www.stilltasty.com/Fooditems/index/16364,"{'Refrigerator': '3-4 weeks', 'Freezer': '6-8 months (best quality)'}","Shelf Life Tips
How long does sliced Appenzeller deli cheese last? The exact answer to that question depends to a large extent on storage conditions  - after purchasing from the deli, keep sliced Appenzeller deli cheese refrigerated at all times.

How long does sliced Appenzeller deli cheese last after the sell-by date? After sliced Appenzeller deli cheese is purchased from the deli, it may be refrigerated for 3 to 4 weeks - the ""sell-by"" date on the package may expire during that storage period, but the cheese will remain safe to use after the sell by date if it has been properly stored.

Unopened sliced Appenzeller deli cheese may be kept in its original store deli packaging when refrigerating; to maximize the shelf life of the cheese, do not open the package until ready to use.

To further extend the shelf life of sliced Appenzeller deli cheese, freeze; when freezing, place the cheese in the freezer before the number of days shown for refrigerator storage has elapsed.

You can maximize the shelf life of sliced Appenzeller deli cheese in the freezer by wrapping the sliced cheese tightly in heavy-duty aluminum foil or plastic freezer wrap or place in heavy-duty freezer bags.

How long does sliced Appenzeller deli cheese last in the freezer? Properly stored, it will maintain best quality for about 8 months, but will remain safe beyond that time.
 
The freezer time shown is for best quality only - Appenzeller deli cheese that has been kept constantly frozen at 0°F will keep safe indefinitely. 

How long does sliced Appenzeller deli cheese last after being frozen and thawed? Sliced Appenzeller deli cheese that has been defrosted can be kept for an additional 3 to 4 days in the refrigerator before using; for best results, thaw cheese in the refrigerator. 

Frozen cheese may become crumbly and lose some of its flavor; the thawed slice Appenzeller deli cheese will be best suited to cooked dishes, such as sauces, soups and casseroles.

How can you tell if sliced Appenzeller deli cheese is bad or spoiled? The best way is to smell and look at the cheese: if cheese develops an off odor, flavor or appearance, it should be discarded; if mold appears, discard all of the sliced Appenzeller deli cheese. "
"APPENZELLER CHEESE, SOLD IN WRAPPED BLOCK - UNOPENED",Dairy & Eggs,https://www.stilltasty.com/Fooditems/index/16366,"{'Refrigerator': '1-2 months', 'Freezer': '3 months'}","Shelf Life Tips
Keep cheese refrigerated. If mold develops on the surface of the cheese, cut away 1 inch around and below the moldy area and re-cover the cheese in fresh wrap. To freeze: cut the cheese into portions no larger than 1/2 pound each, and wrap tightly in heavy-duty aluminum foil or plastic freezer wrap, or place inside a heavy-duty freezer bag. Frozen cheese may become crumbly and lose some of its flavor; the thawed cheese will be best suited to cooked dishes, such as sauces, soups and casseroles. Freezer time shown is for best quality only - foods kept constantly frozen at 0°F will keep safe indefinitely. "
"APPENZELLER CHEESE, SOLD IN WRAPPED BLOCK - OPENED",Dairy & Eggs,https://www.stilltasty.com/Fooditems/index/16365,"{'Refrigerator': '3-4 weeks', 'Freezer': '6 months'}","Shelf Life Tips
How long does a chunk of Appenzeller cheese last once opened? The exact answer to that question depends to a large extent on storage conditions  - keep the cheese refrigerated at all times.

To maximize the shelf life of a chunk of Appenzeller cheese after opening, wrap the original packaging tightly in plastic wrap or aluminum foil; for even better results, wrap the cheese first in wax or parchment paper and then cover with plastic wrap before refrigerating.

Properly stored, an opened chunk of Appenzeller cheese will last for 3 to 4 weeks in the refrigerator.

Is an opened chunk of Appenzeller cheese still safe after the ? sell by date or ""best by date"" on the package? Yes  - after the cheese is opened, it will typically remain safe to use for 3 to 4 weeks, even if the ""sell-by"" or ""best by date on the package expires.

If a chunk or block of Appenzeller cheese has mold on it, is it still safe to eat? Yes -   cut away at least 1 inch around and below the moldy area (do not touch mold with the knife) and re-cover the cheese in fresh wrap.

Note: if mold appears in a package of shredded, sliced or crumbled Appenzeller cheese, the entire package should be discarded.
 
To further extend the shelf life of Appenzeller cheese, freeze it; when freezing, place the cheese in the freezer before the number of days shown for refrigerator storage has elapsed.

To freeze a chunk or block of Appenzeller cheese: Cut the cheese into portions no larger than 1/2 pound each, and wrap tightly in heavy-duty aluminum foil or plastic freezer wrap, or place inside a heavy-duty freezer bag.

How long does a chunk of Appenzeller cheese last in the freezer? Properly stored, it will maintain best quality for about 6 months, but will remain safe beyond that time.
 
The freezer time shown is for best quality only - Appenzeller cheese that has been kept constantly frozen at 0°F will keep safe indefinitely. 

How long does a chunk of Appenzeller cheese last after being frozen and thawed? A chunk of Appenzeller cheese that has been defrosted in the fridge can be kept for an additional 3 to 4 days in the refrigerator before using; a chunk of Appenzeller cheese that was thawed in the microwave or in cold water should be used immediately. 

Frozen cheese may become crumbly and lose some of its flavor; the thawed chunk of Appenzeller cheese will be best suited to cooked dishes, such as sauces, soups and casseroles.

How can you tell if an opened chunk of Appenzeller cheese is bad or spoiled? Appenzeller cheese that is going bad typically will develop a very hard texture, will darken in color, will develop a strong smell and mold may appear; see instructions above for how to handle mold on a chunk of Appenzeller cheese. "
"ASIAGO CHEESE (HARD, AGED VARIETY), SOLD IN WRAPPED CHUNK OR BLOCK  - OPENED",Dairy & Eggs,https://www.stilltasty.com/Fooditems/index/19127,"{'Refrigerator': '4-6 weeks', 'Freezer': '12-18 months (best quality)'}","Shelf Life Tips
How long does a chunk of Asiago cheese last once opened? The exact answer to that question depends to a large extent on storage conditions  - keep the cheese refrigerated at all times.To maximize the shelf life of a chunk of Asiago cheese after opening, wrap the original packaging tightly in plastic wrap or aluminum foil; for even better results, wrap the cheese first in wax or parchment paper and then cover with plastic wrap before refrigerating.How long does a chunk of Asiago cheese last in the refrigerator once opened? Properly stored, an opened chunk of Asiago cheese will last for about 4 to 6 weeks in the refrigerator.Is an opened chunk of Asiago cheese still safe after the ""sell by"" date or ""best by date"" on the package? Yes  - after the cheese is opened, it will typically remain safe to use for about 6 weeks, even if the ""sell-by"" or ""best by"" date on the package expires.If a chunk or block of Asiago cheese has mold on it, is it still safe to eat? Yes -   cut away at least 1 inch around and below the moldy area (do not touch mold with the knife) and re-cover the cheese in fresh wrap.Note: if mold appears in a package of shredded, sliced or crumbled Asiago cheese, the entire package should be discarded.Can you freeze Asiago cheese? Yes- for best results, grate the Asiago cheese before freezing and place the grated cheese inside an airtight container or a heavy-duty freezer bag.How long does Asiago cheese last in the freezer? Properly stored, Asiago cheese will maintain best quality in the freezer for about 12 to 18 months, but will remain safe beyond that time. The freezer time shown is for best quality only - Asiago cheese that has been kept constantly frozen at 0°F will keep safe indefinitely.How long does Asiago cheese last after being frozen and thawed? Asiago cheese that has been defrosted in the fridge can be kept for an additional 3 to 4 days in the refrigerator before using; Asiago cheese that was thawed in the microwave or in cold water should be used immediately. Frozen cheese may become crumbly and lose some of its flavor; the thawed Asiago cheese will be best suited to cooked dishes, such as sauces, soups and casseroles.How can you tell if an opened chunk of Asiago cheese is bad or spoiled? Asiago cheese that is going bad typically will develop a very hard texture, will darken in color, will develop a strong smell and mold may appear; see instructions above for how to handle mold on a chunk of Asiago cheese. "
"ASIAGO CHEESE (HARD, AGED VARIETY), SOLD IN WRAPPED CHUNK OR BLOCK  - UNOPENED",Dairy & Eggs,https://www.stilltasty.com/Fooditems/index/19128,"{'Refrigerator': '8 months', 'Freezer': '12-18 months'}","Shelf Life Tips
How long does an unopened chunk of Asiago cheese last? The exact answer to that question depends to a large extent on storage conditions  - keep the unopened chunk of cheese refrigerated at all times.An unopened chunk of Asiago cheese may be kept in its original packaging when refrigerating; to maximize the shelf life, do not open the package until ready to use.How long does an unopened chunk of Asiago cheese last in the refrigerator? Properly stored, an unopened chunk of Asiago cheese will last for about 8 months in the refrigerator.Is an unopened chunk of Asiago cheese still safe after the ""sell by"" date or ""best by date"" on the package? Yes  -the unopened Asiago cheese will typically remain safe to use for about 8 months, even if the ""sell-by"" or ""best by"" date on the package expires.If an unopened chunk or block of Asiago cheese has mold on it, is it still safe to eat? Yes -   cut away at least 1 inch around and below the moldy area (do not touch mold with the knife) and re-cover the cheese in fresh wrap.Note: if mold appears in a package of shredded, sliced or crumbled Asiago cheese, the entire package should be discarded.Can you freeze Asiago cheese? Yes- for best results, grate the Asiago cheese before freezing and place the grated cheese inside an airtight container or a heavy-duty freezer bag.How long does Asiago cheese last in the freezer? Properly stored, Asiago cheese will maintain best quality in the freezer for about 12 to 18 months, but will remain safe beyond that time. The freezer time shown is for best quality only - Asiago cheese that has been kept constantly frozen at 0°F will keep safe indefinitely.How long does Asiago cheese last after being frozen and thawed? Asiago cheese that has been defrosted in the fridge can be kept for an additional 3 to 4 days in the refrigerator before using; Asiago cheese that was thawed in the microwave or in cold water should be used immediately. Frozen cheese may become crumbly and lose some of its flavor; the thawed Asiago cheese will be best suited to cooked dishes, such as sauces, soups and casseroles.How can you tell if an opened chunk of Asiago cheese is bad or spoiled? Asiago cheese that is going bad typically will develop a very hard texture, will darken in color, will develop a strong smell and mold may appear; see instructions above for how to handle mold on a chunk of Asiago cheese. "
"BEAUFORT CHEESE, SOLD IN WRAPPED BLOCK - UNOPENED",Dairy & Eggs,https://www.stilltasty.com/Fooditems/index/16477,"{'Refrigerator': '6 months', 'Freezer': '6-8 months (best quality)'}","Shelf Life Tips
How long does an unopened chunk of Beaufort cheese last? The exact answer to that question depends to a large extent on storage conditions  - keep the unopened chunk of cheese refrigerated at all times.

An unopened chunk of Beaufort cheese may be kept in its original packaging when refrigerating; to maximize the shelf life, do not open the package until ready to use.

Properly stored, an unopened chunk of Beaufort cheese will last for about 6 months in the refrigerator.

Is an unopened chunk of Beaufort cheese still safe after the ""sell by"" date or ""best by date"" on the package? Yes  -the unopened Beaufort cheese will typically remain safe to use for about 6 months, even if the ""sell-by"" or ""best by"" date on the package expires.

If an unopened chunk or block of Beaufort cheese has mold on it, is it still safe to eat? Yes -   cut away at least 1 inch around and below the moldy area (do not touch mold with the knife) and re-cover the cheese in fresh wrap.

Note: if mold appears in a package of shredded, sliced or crumbled Beaufort cheese, the entire package should be discarded.
 
To further extend the shelf life of Beaufort cheese, freeze it; when freezing, place the cheese in the freezer before the number of days shown for refrigerator storage has elapsed.

To freeze an unopened chunk or block of Beaufort cheese: Cut the cheese into portions no larger than 1/2 pound each, and wrap tightly in heavy-duty aluminum foil or plastic freezer wrap, or place inside a heavy-duty freezer bag.

How long does an unopened chunk of Beaufort cheese last in the freezer? Properly stored, it will maintain best quality for about 6 to 8 months, but will remain safe beyond that time.
 
The freezer time shown is for best quality only - Beaufort cheese that has been kept constantly frozen at 0°F will keep safe indefinitely. 

How long does an unopened chunk of Beaufort cheese last after being frozen and thawed? An unopened chunk of Beaufort cheese that has been defrosted in the fridge can be kept for an additional 3 to 4 days in the refrigerator before using; an unopened chunk of Beaufort cheese that was thawed in the microwave or in cold water should be used immediately. 

Frozen cheese may become crumbly and lose some of its flavor; the thawed chunk of Beaufort cheese will be best suited to cooked dishes, such as sauces, soups and casseroles.

How can you tell if an unopened chunk of Beaufort cheese is bad or spoiled? Beaufort cheese that is going bad typically will develop a very hard texture, will darken in color, will develop a strong smell and mold may appear; see instructions above for how to handle mold on an unopened chunk of Beaufort cheese. "
"BEAUFORT CHEESE, SOLD IN WRAPPED BLOCK — OPENED",Dairy & Eggs,https://www.stilltasty.com/Fooditems/index/16476,"{'Refrigerator': '3-4 weeks', 'Freezer': '6-8 months (best quality)'}","Shelf Life Tips
How long does a chunk of Beaufort cheese last once opened? The exact answer to that question depends to a large extent on storage conditions  - keep the cheese refrigerated at all times.

To maximize the shelf life of a chunk of Beaufort cheese after opening, wrap the original packaging tightly in plastic wrap or aluminum foil; for even better results, wrap the cheese first in wax or parchment paper and then cover with plastic wrap before refrigerating.

How long does a chunk of Beaufort cheese last in the refrigerator once opened? Properly stored, an opened chunk of Beaufort cheese will last for about 3 to 4 weeks in the refrigerator.

Is an opened chunk of Beaufort cheese still safe after the ""sell by"" date or ""best by date"" on the package? Yes  - after the cheese is opened, it will typically remain safe to use for 3 to 4 weeks, even if the ""sell-by"" or ""best by"" date on the package expires.

If a chunk or block of Beaufort cheese has mold on it, is it still safe to eat? Yes -   cut away at least 1 inch around and below the moldy area (do not touch mold with the knife) and re-cover the cheese in fresh wrap.

Note: if mold appears in a package of shredded, sliced or crumbled Beaufort cheese, the 
entire package should be discarded.
 
To further extend the shelf life of Beaufort cheese, freeze it; when freezing, place the cheese in the freezer before the number of days shown for refrigerator storage has elapsed.

To freeze a chunk or block of Beaufort cheese: Cut the cheese into portions no larger than 1/2 pound each, and wrap tightly in heavy-duty aluminum foil or plastic freezer wrap, or place inside a heavy-duty freezer bag.

How long does a chunk of Beaufort cheese last in the freezer? Properly stored, a chunk of Beaufort cheese will maintain best quality for about 8 months, but will remain safe beyond that time.
 
The freezer time shown is for best quality only - Beaufort cheese that has been kept constantly frozen at 0°F will keep safe indefinitely. 

How long does a chunk of Beaufort cheese last after being frozen and thawed? A chunk of Beaufort cheese that has been defrosted in the fridge can be kept for an additional 3 to 4 days in the refrigerator before using; a chunk of Beaufort cheese that was thawed in the microwave or in cold water should be used immediately. 

Frozen cheese may become crumbly and lose some of its flavor; the thawed chunk of Beaufort cheese will be best suited to cooked dishes, such as sauces, soups and casseroles.

How can you tell if an opened chunk of Beaufort cheese is bad or spoiled? Beaufort cheese that is going bad typically will develop a very hard texture, will darken in color, will develop a strong smell and mold may appear; see instructions above for how to handle mold on a chunk of Beaufort cheese. "
