item_name,category,url,shelf_life,food_tips
"ANCHOVIES, COMMERCIALLY CANNED OR BOTTLED — OPENED",Fish & Shellfish,https://www.stilltasty.com/Fooditems/index/18769,"{'Refrigerator': '1-2 months', 'Freezer': '3 months'}","Shelf Life Tips
How long do anchovies last once opened? The precise answer depends to a large extent on storage conditions - keep opened anchovies refrigerated and tightly covered.
To maximize the shelf life of canned or bottled anchovies after opening, refrigerate in covered glass or plastic container.
How long do opened anchovies last in the refrigerator? Anchovies that have been continuously refrigerated will generally keep well for about 1 to 2 months.  
Are anchovies safe to use after the expiration date on the package? Yes, provided they have been stored properly, the package is undamaged, and there are no signs of spoilage (see below) - commercially packaged anchovies will typically carry a Best By,"" ""Best if Used By,"" Best Before, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the anchovies will remain at peak quality.
To further extend the shelf life of opened anchovies, freeze them: to freeze anchovies, place inside covered airtight containers or heavy-duty freezer bags.
How long do anchovies last in the freezer? Properly stored, they will maintain best quality for about 3 months, but will remain safe beyond that time.
The freezer time shown is for best quality only - anchovies that have been kept constantly frozen at 0°F will keep safe indefinitely. 
How long do anchovies last after being frozen and thawed? Anchovies that have been defrosted in the fridge can be kept for an additional 3 to 4 days in the refrigerator before using; anchovies that was thawed in the microwave or in cold water should be used immediately. 
How can you tell if opened anchovies are bad or spoiled? The best way is to smell and look at the anchovies: if the anchovies develop an off odor, flavor or appearance, or if mold appears, they should be discarded. "
"ANCHOVIES, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",Fish & Shellfish,https://www.stilltasty.com/Fooditems/index/16352,{'Pantry': '3-5 years (best quality)'},"Shelf Life Tips
How long do unopened anchovies last? The precise answer depends to a large extent on storage conditions - to maximize shelf life, store in a cool, dry area.
How long does an unopened can or jar of anchovies last at room temperature? Properly stored, an unopened can or jar of anchovies will generally stay at best quality for 3 to 5 years, although it will usually remain safe to use after that.
Are unopened anchovies safe to use after the expiration date on the package? Yes, provided they are properly stored and the can or bottle is undamaged  -  commercially packaged anchovies will typically carry a Best By,"" ""Best if Used By,"" Best Before, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the anchovies will remain at peak quality.
Storage time shown is for best quality only - after that, the anchovies' texture, color or flavor may change, but in most cases, they will still be safe to consume if they been stored properly, the can or bottle is undamaged, and there are no signs of spoilage (see below).  
Discard all anchovies from cans that are leaking, rusting, bulging or severely dented.
How can you tell if anchovies are bad or spoiled? The best way is to smell and look at the anchovies: if the anchovies develop an off odor, flavor or appearance, or if mold appears, they should be discarded. "
"ARCTIC CHAR — FRESH, COOKED",Fish & Shellfish,https://www.stilltasty.com/Fooditems/index/16408,"{'Refrigerator': '3-4 days', 'Freezer': '2-3 months'}","Shelf Life Tips
Refrigerate within two hours of cooking. Refrigerate cooked fish in shallow airtight containers or wrap tightly with heavy-duty aluminum foil or plastic wrap. Freeze in covered airtight containers or heavy-duty freezer bags, or wrap tightly with heavy-duty aluminum foil or freezer wrap. Freezer time shown is for best quality only — foods kept constantly frozen at 0° F will keep safe indefinitely. "
"ARCTIC CHAR - FRESH, RAW",Fish & Shellfish,https://www.stilltasty.com/Fooditems/index/16409,"{'Refrigerator': '1-2 days', 'Freezer': '2-3 months'}","Shelf Life Tips
How long does raw arctic char last in the fridge or freezer? The precise answer depends to a large extent on storage conditions  - keep arctic char refrigerated at all times.

How long does raw arctic char last after the sell-by date? After arctic char is purchased, it may be refrigerated for 1 to 2 days - the ""sell-by"" date on the package may expire during that storage period, but the arctic char will remain safe to use after the sell by date if it has been properly stored.

Unopened raw arctic char may be kept in its original store packaging when refrigerating; to maximize the shelf life of arctic char, do not open the package until ready to use.

How long can raw arctic char be left at room temperature? Bacteria grow rapidly at temperatures between 40 °F and 140 °F; arctic char should be discarded if left out for more than 2 hours at room temperature. 

To further extend the shelf life of raw arctic char, freeze; when freezing, place arctic char in the freezer before the number of days shown for refrigerator storage has elapsed.

You can maximize the shelf life of arctic char in the freezer by overwrapping the original store packaging with airtight heavy-duty aluminum foil, plastic wrap, or freezer paper or place the package inside a heavy-duty freezer bag in order to prevent freezer burn.

How long does raw arctic char last in the freezer? Properly stored, it will maintain best quality for about 2 to 3 months, but will remain safe beyond that time.

The freezer time shown is for best quality only - arctic char that has been kept constantly frozen at 0°F will keep safe indefinitely. 

How long does raw arctic char last after being frozen and thawed? Arctic char that has been defrosted in the fridge can be kept for an additional 1 to 2 days in the refrigerator before cooking; arctic char that was thawed in the microwave or in cold water should be cooked immediately. 

How long does arctic char last in the fridge once it is cooked? Cooked arctic char will usually stay good for 3 to 4 days in the fridge and 4 months in the freezer.

How to tell if raw arctic char is bad? The best way is to smell and look at the arctic char: signs of bad arctic char are a sour smell, dull color and slimy texture; discard any arctic char with an off smell or appearance. "
"ARCTIC CHAR - PURCHASED COMMERCIALLY FROZEN, RAW",Fish & Shellfish,https://www.stilltasty.com/Fooditems/index/16410,{'Freezer': '7-9 months (best quality)'},"Shelf Life Tips
How long does frozen arctic char last? The precise answer to that question depends to a large extent on storage conditions - keep arctic char frozen at all times.

Properly stored, frozen arctic char will maintain best quality for about 9 months in the freezer, although it will usually remain safe to eat after that. 

Is frozen arctic char safe to eat after the expiration date on the package? Yes, if properly stored  -  commercially frozen arctic char will typically carry a “Best By,"" ""Best if Used By,"" “Best Before”, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the frozen arctic char will remain at peak quality.
 
How long will frozen arctic char remain safe to eat? Frozen arctic char that has been kept constantly frozen at 0°F will keep safe indefinitely, as long as it has been stored properly and the package is not damaged.

How to tell if frozen arctic char is no longer good?  If dry spots or discoloration have developed on the frozen arctic char, freezer burn has begun to set in - this will not make the arctic char unsafe to eat, but it will harm the texture and taste. "
"BLUEFISH — FRESH, COOKED",Fish & Shellfish,https://www.stilltasty.com/Fooditems/index/16588,"{'Refrigerator': '3-4 days', 'Freezer': '2-3 months'}","Shelf Life Tips
Refrigerate within two hours of cooking. Refrigerate cooked fish in shallow airtight containers or wrap tightly with heavy-duty aluminum foil or plastic wrap. Freeze in covered airtight containers or heavy-duty freezer bags, or wrap tightly with heavy-duty aluminum foil or freezer wrap. Freezer time shown is for best quality only — foods kept constantly frozen at 0° F will keep safe indefinitely. "
"BLUEFISH - FRESH, RAW",Fish & Shellfish,https://www.stilltasty.com/Fooditems/index/16589,"{'Refrigerator': '1-2 days', 'Freezer': '2-3 months'}","Shelf Life Tips
Unopened fish may be kept in its original store packaging when refrigerating - do not open package until ready to use. If freezing, place in freezer before the number of days shown for refrigerator storage has elapsed. If freezing for longer than 2 months, overwrap original store packaging with airtight heavy-duty aluminum foil, plastic wrap, or freezer paper or place the package inside a heavy-duty freezer bag in order to prevent freezer burn. Freezer time shown is for best quality only - foods kept constantly frozen at 0°F will keep safe indefinitely. "
"BLUEFISH — PURCHASED COMMERCIALLY FROZEN, RAW",Fish & Shellfish,https://www.stilltasty.com/Fooditems/index/16590,{'Freezer': '7-9 months'},"Shelf Life Tips
How long does frozen bluefish last? The precise answer to that question depends to a large extent on storage conditions - keep bluefish frozen at all times.

Properly stored, frozen bluefish will maintain best quality for about 9 months in the freezer, although it will usually remain safe to eat after that. 

Is frozen bluefish safe to eat after the expiration date on the package? Yes, if properly stored  -  commercially frozen bluefish will typically carry a “Best By,"" ""Best if Used By,"" “Best Before”, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the frozen bluefish will remain at peak quality.
 
How long will frozen bluefish remain safe to eat? Frozen bluefish that has been kept constantly frozen at 0°F will keep safe indefinitely, as long as it has been stored properly and the package is not damaged.

How to tell if frozen bluefish is no longer good?  If dry spots or discoloration have developed on the frozen bluefish, freezer burn has begun to set in - this will not make the bluefish unsafe to eat, but it will harm the texture and taste. "
"CALAMARI / SQUID — PURCHASED COMMERCIALLY FROZEN, RAW",Fish & Shellfish,https://www.stilltasty.com/Fooditems/index/18402,{'Freezer': '3-6 months (best quality)'},"Shelf Life Tips
How long does frozen calamari (squid) last? The precise answer to that question depends to a large extent on storage conditions - keep calamari frozen at all times.

Properly stored, frozen calamari will maintain best quality for about 9 months in the freezer, although it will usually remain safe to eat after that. 

Is frozen calamari safe to eat after the expiration date on the package? Yes, if properly stored  -  commercially frozen calamari will typically carry a “Best By,"" ""Best if Used By,"" “Best Before”, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the frozen calamari will remain at peak quality.
 
How long will frozen calamari remain safe to eat? Frozen calamari that has been kept constantly frozen at 0°F will keep safe indefinitely, as long as it has been stored properly and the package is not damaged.

How to tell if frozen calamari is no longer good?  If dry spots or discoloration have developed on the frozen calamari, freezer burn has begun to set in - this will not make the calamari unsafe to eat, but it will harm the texture and taste. "
"CARP — FRESH, COOKED",Fish & Shellfish,https://www.stilltasty.com/Fooditems/index/16692,"{'Refrigerator': '3-4 days', 'Freezer': '2-3 months'}","Shelf Life Tips
Refrigerate within two hours of cooking. Refrigerate cooked fish in shallow airtight containers or wrap tightly with heavy-duty aluminum foil or plastic wrap. Freeze in covered airtight containers or heavy-duty freezer bags, or wrap tightly with heavy-duty aluminum foil or freezer wrap. Freezer time shown is for best quality only — foods kept constantly frozen at 0° F will keep safe indefinitely. "
