item_name,category,url,shelf_life,food_tips
APPLE JUICE - COMMERCIALLY FROZEN CONCENTRATE,Fruits,https://www.stilltasty.com/Fooditems/index/16371,"{'Refrigerator': '5-7 days after prepared for drinking', 'Freezer': '1 year (best quality)'}","Shelf Life Tips
How long does frozen apple juice concentrate last? The precise answer to that question depends to a large extent on storage conditions - keep apple juice concentrate frozen until ready to use.

Properly stored, frozen apple juice concentrate will maintain best quality for about 1 year in the freezer.

Is frozen apple juice concentrate safe to use after the expiration date on the package? Yes, if properly stored  -  commercially frozen apple juice concentrate will typically carry a ""Best By,"" ""Best if Used By,"" Best Before, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the apple juice concentrate will remain at peak quality.
 
How long will frozen apple juice concentrate remain safe to use? Frozen apple juice concentrate that has been kept constantly frozen at 0°F will keep safe indefinitely, as long as it has been stored properly and the package is not damaged.

How long does frozen apple juice concentrate last once it has been prepared for drinking? Frozen apple juice concentrate that has been prepared for drinking can be kept for 5 to 7 days in the fridge; refrigerate the prepared apple juice concentrate in airtight containers.

How to tell if prepared apple juice concentrate is bad or spoiled? If apple juice develops an off odor, flavor or appearance, or if mold appears, it should be discarded. "
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED",Fruits,https://www.stilltasty.com/Fooditems/index/16372,"{'Refrigerator': '7-10 days', 'Freezer': '8-12 months'}","Shelf Life Tips
How long does apple juice last once opened? The precise answer depends to a large extent on storage conditions — keep opened apple juice refrigerated and tightly closed.
How long does opened apple juice last in the refrigerator? Apple juice that has been continuously refrigerated will keep for about 7 to 10 days after opening.  
To further extend the shelf life of opened apple juice, freeze it: to freeze apple juice, store in airtight container and leave at least 1/2 inch headspace at the top, as juice will expand when frozen.
How long does apple juice last in the freezer? Properly stored, it will maintain best quality for about 8 to 12 months, but will remain safe beyond that time.
The freezer time shown is for best quality only — apple juice that has been kept constantly frozen at 0° F will keep safe indefinitely. 
How long does apple juice last after being frozen and thawed? Apple juice that has been defrosted in the fridge can be kept for an additional 3 to 5 days in the refrigerator before using; apple juice that was thawed in the microwave or in cold water should be used immediately. 
How can you tell if apple juice is bad? If apple juice develops an off odor, flavor or appearance, or if mold appears, it should be discarded.
Discard all apple juice from cans or bottles that are leaking, rusting, bulging or severely dented. "
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",Fruits,https://www.stilltasty.com/Fooditems/index/16373,"{'Pantry': '18-24 months (best quality)', 'Freezer': '8-12 months'}","Shelf Life Tips
How long does unopened apple juice last? The precise answer to the question depends to a large extent on storage conditions - store unopened cans or bottles of apple juice in a cool, dark area.
To extend the shelf life of unopened apple juice, keep unopened apple juice away from direct sources of heat or light.
How long does unopened apple juice last at room temperature? Properly stored, unopened apple juice that has been sold unrefrigerated will generally stay at best quality for about 18 to 24 months when stored at room temperature, although it will usually remain safe to drink after that.  
Is unopened apple juice safe to drink after the ""expiration"" date on the can or bottle? Yes, provided  it is properly stored and the can or bottle is undamaged  -  commercially packaged apple juice will typically carry a "" Best By,"" ""Best if Used By,"" ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the apple juice will remain at peak quality.
Storage times shown are for best quality only - after that, the unopened apple juice's color or flavor may change, but in most cases, it will still be safe to consume if it has been stored properly, the can or bottle is not damaged and there are no signs of spoilage (see below).
To further extend the shelf life of apple juice, freeze it: to freeze apple juice, store in airtight container and leave at least 1/2 inch headspace at the top, as juice will expand when frozen.
How long does apple juice last in the freezer? Properly stored, it will maintain best quality for about 8 to 12 months, but will remain safe beyond that time.
The freezer time shown is for best quality only — apple juice that has been kept constantly frozen at 0° F will keep safe indefinitely. 
How long does apple juice last after being frozen and thawed? Apple juice that has been defrosted in the fridge can be kept for an additional 3 to 5 days in the refrigerator before using; apple juice that was thawed in the microwave or in cold water should be used immediately. 
How can you tell if apple juice is bad? If apple juice develops an off odor, flavor or appearance, or if mold appears, it should be discarded.
Discard all apple juice from cans or bottles that are leaking, rusting, bulging or severely dented. "
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - OPENED",Fruits,https://www.stilltasty.com/Fooditems/index/16374,"{'Refrigerator': '7-10 days', 'Freezer': '8-12 months (best quality)'}","Shelf Life Tips
How long does apple juice that was sold refrigerated last once opened? The precise answer depends to a large extent on storage conditions — keep opened apple juice that was sold refrigerated in the fridge and tightly closed.
How long does opened apple juice that was sold refrigerated last in the fridge? Apple juice that has been continuously refrigerated will keep for about 7 to 10 days after opening.  
To further extend the shelf life of opened apple juice, freeze it: to freeze apple juice, store in airtight container and leave at least 1/2 inch headspace at the top, as juice will expand when frozen.
How long does apple juice last in the freezer? Properly stored, it will maintain best quality for about 8 to 12 months, but will remain safe beyond that time.
The freezer time shown is for best quality only — apple juice that has been kept constantly frozen at 0° F will keep safe indefinitely. 
How long does apple juice last after being frozen and thawed? Apple juice that has been defrosted in the fridge can be kept for an additional 3 to 5 days in the refrigerator before using; apple juice that was thawed in the microwave or in cold water should be used immediately. 
How can you tell if opened apple juice is bad or spoiled? The best way is to smell and look at the apple juice: if the apple juice develops an off odor, flavor or appearance, or if mold appears, it should be discarded. "
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - UNOPENED",Fruits,https://www.stilltasty.com/Fooditems/index/16375,"{'Refrigerator': '1 week after date on package', 'Freezer': '8-12 months (best quality)'}","Shelf Life Tips
How long does unopened apple juice that was sold refrigerated last? The precise answer to that question depends to a large extent on storage conditions  - to maximize the shelf life of unopened apple juice that was sold refrigerated, keep it refrigerated at all times.
How long does unopened apple juice that was sold refrigerated last in the fridge? Unopened apple juice sold refrigerated will generally stay at best quality for about 1 week after the date on the package, assuming it has been continuously refrigerated.
To further extend the shelf life of apple juice, freeze it: to freeze apple juice, store in airtight container and leave at least 1/2 inch headspace at the top, as apple juice will expand when frozen.
How long does apple juice last in the freezer? Properly stored, it will maintain best quality for about 8 to 12 months, but will remain safe beyond that time.
The freezer time shown is for best quality only — apple juice that has been kept constantly frozen at 0° F will keep safe indefinitely. 
How long does apple juice last after being frozen and thawed? Apple juice that has been defrosted in the fridge can be kept for an additional 3 to 5 days in the refrigerator before using; apple juice that was thawed in the microwave or in cold water should be used immediately. 
How can you tell if apple juice is bad or spoiled? The best way is to smell and look at the apple juice: if the apple juice develops an off odor, flavor or appearance, or if mold appears, it should be discarded. "
APPLES -  COMMERCIALLY FROZEN,Fruits,https://www.stilltasty.com/Fooditems/index/16381,{'Freezer': '1 year (best quality)'},"Shelf Life Tips
How long do frozen apples last? The precise answer to that question depends to a large extent on storage conditions - keep apples frozen at all times.

Properly stored, frozen apples will maintain best quality for about 12 months in the freezer, although they will usually remain safe to eat after that.  

Are frozen apples safe to eat after the ‘expiration’ date on the package? Yes, if properly stored  -  commercially frozen apples will typically carry a Best By, Best if Used By, Best Before, or Best When Used By date but this is not a safety date, it is the manufacturer's estimate of how long the frozen apples will remain at peak quality.
 
How long will frozen apples remain safe to eat? Frozen apples that have been kept constantly frozen at 0°F will keep safe indefinitely, as long as they have been stored properly and the package is not damaged.

How to tell if frozen apples are no longer good?  If dry spots or discolorations have developed on the frozen apples, freezer burn has begun to set in - this will not make the frozen apples unsafe to eat, but it will harm the texture and taste. "
"APPLES - FRESH, RAW, CUT UP",Fruits,https://www.stilltasty.com/Fooditems/index/16382,"{'Refrigerator': '3-4 days', 'Freezer': '10-12 months'}","Shelf Life Tips
How long do cut apples last? The exact answer to that question depends to a large extent on storage conditions - keep cut-up apples refrigerated. 

Apples discolor quickly when cut - to prevent browning, sprinkle the cut apples with a little lemon juice before refrigerating.

To maximize the shelf life of cut apples, wrap tightly with plastic wrap or aluminum foil, or place in covered container or resealable plastic bag and refrigerate. 

How long do cut apples last in the fridge? Properly stored, cut apples will last for 3 to 4 days in the refrigerator.

Can you freeze cut apples? Yes, to freeze apples: (1) Wash, peel, core and slice apples; (2) Coat apples with a solution made of 1 teaspoon of ascorbic acid for each  6 tablespoons of cold water to prevent darkening; (3) Place in covered airtight containers or heavy-duty freezer bags.

How long do cut apples last in the freezer? Properly stored, they will maintain best quality for about 10 to 12 months, but will remain safe beyond that time.

The freezer time shown is for best quality only - cut-up apples that have been kept constantly frozen at 0°F will keep safe indefinitely. 

How to tell if cut apples are bad or spoiled? The best way is to smell and look at the cut apples: discard any apples that have an off smell or appearance; if mold appears, discard the cut apples. "
"APPLES - FRESH, RAW, WHOLE",Fruits,https://www.stilltasty.com/Fooditems/index/16383,"{'Pantry': '5-7 days', 'Refrigerator': '1-2 months', 'Freezer': '10-12 months'}","Shelf Life Tips
How long do apples last? The precise answer to that question depends to a large extent on storage conditions - after purchasing, keep apples in a dry area. 
How long do apples last at room temperature? Apples will generally keep well at room temperature for about 5 to 7 days; longer storage at room temperature can cause the apples to shrivel and lose flavor and crispness.
 
To extend the shelf life of apples, refrigerate in a plastic bag. 

How long do apples last in the refrigerator? Properly stored, apples will usually keep well for 1 to 2 months in the fridge.

The shelf life of apples can be extended to 6 months or more if the apples are stored in an area where the temperature is between 30°F and 40°F with high humidity (difficult to find in most households). 

Can you freeze apples? Yes: (1) Wash, peel, core and slice apples; (2) Coat apples with a solution made of 1 teaspoon of ascorbic acid for each  6 tablespoons of cold water to prevent darkening; (3) Place in covered airtight containers or heavy-duty freezer bags. 
How long do apples last in the freezer? Properly stored, they will maintain best quality for about 10 to 12 months, but will remain safe beyond that time.

The freezer time shown is for best quality only - apples that have been kept constantly frozen at 0°F will keep safe indefinitely. 

How to tell if apples are bad or spoiled? Apples that are spoiling will typically turn brown and mushy; discard any apples if mold appears or if the apples have an off smell or appearance. "
"APPLES, DRIED - UNOPENED OR OPENED PACKAGE",Fruits,https://www.stilltasty.com/Fooditems/index/18822,"{'Pantry': '6-12 months', 'Refrigerator': '6-12 months', 'Freezer': '12-18 months'}","Shelf Life Tips
How long do dried apples last? The precise answer to that question depends to a large extent on storage conditions - keep dried apples in a cool, dry area. 
To maximize the shelf life of dried apples after opening, place in tightly sealed airtight container or heavy-duty plastic bag.
How long do dried apples last at room temperature? Properly stored, dried apples will last for about 6 to 12 months at normal room temperature. 
Should you refrigerate dried apples? In hot, humid environments, dried apples should be stored in the refrigerator. 
How long do dried apples last in the refrigerator? Dried apples will keep well for about 6 to 12 months in the refrigerator.
Can you freeze dried apples? Yes, freeze dried apples in airtight containers or heavy-duty freezer bags.
How long do dried apples last in the freezer? Properly stored, dried apples will maintain best quality for about 12 to 18 months, but will remain safe beyond that time.
The freezer time shown is for best quality only - dried apples that have been kept constantly frozen at 0°F will keep safe indefinitely. 
How to tell if dried apples are bad or spoiled? The best way is to smell and look at the dried apples: discard any that have an off smell or appearance; if mold appears, discard the dried apples. "
"APPLESAUCE, COMMERCIALLY BOTTLED OR PACKAGED, SOLD UNREFRIGERATED - OPENED",Fruits,https://www.stilltasty.com/Fooditems/index/16388,"{'Refrigerator': '1-2 weeks', 'Freezer': '1-2 months'}","Shelf Life Tips
How long does applesauce last once opened? The precise answer depends to a large extent on storage conditions — keep opened applesauce refrigerated and tightly closed.
How long does opened applesauce last in the refrigerator? Applesauce that has been continuously refrigerated will keep for about 1 to 2 weeks after opening.  
To further extend the shelf life of opened applesauce, freeze it: to freeze applesauce, store in airtight container and leave at least 1/2 inch headspace at the top, as applesauce will expand when frozen.
How long does applesauce last in the freezer? Properly stored, it will maintain best quality for about 1 to 2 months, but will remain safe beyond that time.
The freezer time shown is for best quality only — applesauce that has been kept constantly frozen at 0° F will keep safe indefinitely. 
How long does applesauce last after being frozen and thawed? Applesauce that has been defrosted in the fridge can be kept for an additional 3 to 5 days in the refrigerator before using; applesauce that was thawed in the microwave or in cold water should be used immediately. 
How can you tell if applesauce is bad? If applesauce develops an off odor, flavor or appearance, or if mold appears, it should be discarded.
Discard all applesauce from bottles or packages that are leaking, rusting, bulging or severely dented. "
