item_name,category,url,shelf_life,food_tips
"ALLSPICE, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16337,{'Pantry': '3-4 years'},"Shelf Life Tips
How long does ground allspice last? The precise answer depends to a large extent on storage conditions  —to maximize the shelf life of ground allspice store in a cool, dark cupboard, away from direct heat or sunlight.
How long does ground allspice last at room temperature? Properly stored, ground allspice will generally stay at best quality for about 3 to 4 years.
To maximize the shelf life of ground allspice purchased in bulk, and to better retain flavor and potency, store in containers with tight-fitting lids.
Is ground allspice safe to use after the ""expiration"" date on the package? Yes, provided  it is properly stored and the package is undamaged  —  commercially packaged ground allspice will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before,"" or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the ground allspice will remain at peak quality.
Does ground allspice ever spoil? No, commercially packaged ground allspice does not spoil, but it will start to lose potency over time and not flavor food as intended -  the storage time shown is for best quality only.
How can you tell if ground allspice is still good? To test whether ground allspice is still potent enough to be effective: Rub or crush a small amount in your hand, then taste and smell it - if the aroma is weak and the flavor is not obvious, the ground allspice should be replaced. "
"ALLSPICE, WHOLE, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16338,{'Pantry': '3-4 years (best quality)'},"Shelf Life Tips
How long does whole allspice last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of whole allspice store in a cool, dark cupboard, away from direct heat or sunlight.
How long does whole allspice last at room temperature? Properly stored, whole allspice will generally stay at best quality for about 3 to 4 years.
To maximize the shelf life of whole allspice purchased in bulk, and to better retain flavor and potency, store in containers with tight-fitting lids.
Is whole allspice safe to use after the ""expiration"" date on the package? Yes, provided  it is properly stored and the package is undamaged  -  commercially packaged whole allspice will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before,"" or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the whole allspice will remain at peak quality.
Does whole allspice ever spoil? No, commercially packaged whole allspice does not spoil, but it will start to lose potency over time and not flavor food as intended -  the storage time shown is for best quality only.
How can you tell if whole allspice is still good? To test whether whole allspice is still potent enough to be effective: Rub or crush a small amount in your hand, then taste and smell it - if the aroma is weak and the flavor is not obvious, the whole allspice should be replaced. "
"ALMOND EXTRACT, COMMERCIALLY BOTTLED - UNOPENED OR OPENED",Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16339,{'Pantry': '3-4 years'},"Shelf Life Tips
How long does almond extract last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of almond extract store in a cool, dark cupboard, away from direct heat or sunlight.
How long does almond extract last at room temperature? Properly stored, almond extract will generally stay at best quality for about 3 to 4 years.
To maximize the shelf life of almond extract, keep the container tightly closed when not in use. 
Is almond extract safe to use after the ""expiration"" date on the package? Yes, provided  it is properly stored and the package is undamaged  -  commercially packaged almond extract will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before,"" or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the almond extract will remain at peak quality.
How can you tell if almond extract is still good? Almond extract typically loses flavor over time - if the extract develops an off odor, flavor or appearance, it should be discarded. "
"ALUM, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16346,{'Pantry': '2-3 years'},"Shelf Life Tips
How long does alum powder last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of alum powder store in a cool, dark cupboard, away from direct heat or sunlight.
How long does alum powder last at room temperature? Properly stored, alum powder will generally stay at best quality for about 2 to 3 years.
To maximize the shelf life of alum powder purchased in bulk, store in containers with tight-fitting lids.
Is alum powder safe to use after the ""expiration"" date on the package? Yes, provided  it is properly stored and the package is undamaged  -  commercially packaged alum powder will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before,"" or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the alum powder will remain at peak quality.
Does alum powder ever spoil? No, commercially packaged alum powder does not spoil, but it will start to lose effectiveness over time  -  the storage time shown is for best quality only. "
"ANISE EXTRACT, PURE, COMMERCIALLY BOTTLED - UNOPENED OR OPENED",Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16361,{'Pantry': '3-4 years'},"Shelf Life Tips
How long does anise extract last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of anise extract store in a cool, dark cupboard, away from direct heat or sunlight.
How long does anise extract last at room temperature? Properly stored, anise extract will generally stay at best quality for about 3 to 4 years.
To maximize the shelf life of anise extract, keep the container tightly closed when not in use. 
Is anise extract safe to use after the ""expiration"" date on the package? Yes, provided  it is properly stored and the package is undamaged  -  commercially packaged anise extract will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before,"" or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the anise extract will remain at peak quality.
How can you tell if anise extract is still good? Anise extract typically loses flavor over time - if the extract develops an off odor, flavor or appearance, it should be discarded. "
"ANISE SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16363,{'Pantry': '3-4 years'},"Shelf Life Tips
How long does anise seed last? The precise answer depends to a large extent on storage conditions  —to maximize the shelf life of anise seed store in a cool, dark cupboard, away from direct heat or sunlight.
How long does anise seed last at room temperature? Properly stored, anise seed will generally stay at best quality for about 3 to 4 years.
To maximize the shelf life of anise seed purchased in bulk, and to better retain flavor and potency, store in containers with tight-fitting lids.
Is anise seed safe to use after the ""expiration"" date on the package? Yes, provided  it is properly stored and the package is undamaged  -  commercially packaged anise seed will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before,"" or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the anise seed will remain at peak quality.
Does anise seed ever spoil? No, commercially packaged anise seed does not spoil, but it will start to lose potency over time and not flavor food as intended -  the storage time shown is for best quality only.
How can you tell if anise seed is still good? To test whether anise seed is still potent enough to be effective: Rub or crush a small amount in your hand, then taste and smell it - if the aroma is weak and the flavor is not obvious, the anise seed should be replaced. "
"APPLE PIE SPICE, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16380,{'Pantry': '2-3 years'},"Shelf Life Tips
How long does apple pie spice last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of apple pie spice store in a cool, dark cupboard, away from direct heat or sunlight.
How long does apple pie spice last at room temperature? Properly stored, apple pie spice will generally stay at best quality for about 2 to 3 years.
To maximize the shelf life of apple pie spice purchased in bulk, and to better retain flavor and potency, store in containers with tight-fitting lids.
Is apple pie spice safe to use after the ""expiration"" date on the package? Yes, provided  it is properly stored and the package is undamaged  -  commercially packaged apple pie spice will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before,"" or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the apple pie spice will remain at peak quality.
Does apple pie spice ever spoil? No, commercially packaged apple pie spice does not spoil, but it will start to lose potency over time and not flavor food as intended -  the storage time shown is for best quality only.
How can you tell if apple pie spice is still good? To test whether apple pie spice is still potent enough to be effective: Rub or crush a small amount in your hand, then taste and smell it - if the aroma is weak and the flavor is not obvious, the apple pie spice should be replaced. "
"ARROWROOT POWDER, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16412,{'Pantry': '3-4 years'},"Shelf Life Tips
How long does arrowroot powder last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of arrowroot powder store in a cool, dark cupboard, away from direct heat or sunlight.
How long does arrowroot powder last at room temperature? Properly stored, arrowroot powder will generally stay at best quality for about 3 to 4 years.
To maximize the shelf life of arrowroot powder purchased in bulk, store in containers with tight-fitting lids.
Is arrowroot powder safe to use after the ""expiration"" date on the package? Yes, provided  it is properly stored and the package is undamaged  -  commercially packaged arrowroot powder will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before,"" or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the arrowroot powder will remain at peak quality.
Does dried arrowroot powder ever spoil? No, commercially packaged arrowroot powder does not spoil, but it will start to lose effectiveness over time  -  the storage time shown is for best quality only. "
"BANANA EXTRACT, IMITATION, COMMERCIALLY BOTTLED - UNOPENED OR OPENED",Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16446,{'Pantry': '3-4 years'},"Shelf Life Tips
How long does banana extract last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of banana extract store in a cool, dark cupboard, away from direct heat or sunlight.
How long does banana extract last at room temperature? Properly stored, banana extract will generally stay at best quality for about 3 to 4 years.
To maximize the shelf life of banana extract, keep the container tightly closed when not in use. 
Is banana extract safe to use after the ""expiration"" date on the package? Yes, provided  it is properly stored and the package is undamaged  -  commercially packaged banana extract will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before,"" or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the banana extract will remain at peak quality.
How can you tell if banana extract is still good? Banana extract typically loses flavor over time - if the extract develops an off odor, flavor or appearance, it should be discarded. "
"BASIL - FRESH, RAW",Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16458,"{'Pantry': '7-10 days', 'Freezer': '4-6 months'}","Shelf Life Tips
How long does fresh basil last? The precise answer to that question depends to a large extent on storage conditions - after purchasing, store fresh basil in a dry area and keep loosely covered.  
Should you refrigerate fresh basil? No, refrigerating fresh basil is not recommended, as it can cause the leaves to turn black.
How should fresh basil be stored? To maximize the shelf life of fresh basil: (1)Trim the ends and place basil in a glass containing about one inch of water; (2) Cover with a loose-fitting plastic bag and leave at room temperature; (3) Replace water when it gets cloudy.
How long does fresh basil last at room temperature? Properly stored, fresh basil will usually keep well for about 7 to 10 days at room temperature. 
Can you freeze fresh basil? Yes, to freeze fresh basil: (1) Wash, trim and chop the basil; (2) Allow to dry thoroughly; (3) Once dry, place in heavy-duty freezer bags or freeze in ice cube trays with a small amount of water, then transfer to freezer bags. 
How long does fresh basil last in the freezer? Properly stored, fresh basil will maintain best quality for about 4 to 6 months in the freezer, but will remain safe beyond that time.  The freezer time shown is for best quality only -  basil that has been kept constantly frozen at 0°F will keep safe indefinitely. 
How to tell if basil is bad or spoiled? Basil that is spoiling will typically become soft and discolored and the leaves will start to darken; discard any basil that has an off smell or appearance. "
