item_name,category,url,shelf_life,food_tips
ALMOND PASTE — OPENED OR UNOPENED,"Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16341,{'Refrigerator': '2 years'},"Shelf Life Tips
Keep refrigerated in covered container. "
"ALMONDS, COMMERCIALLY BAGGED OR PURCHASED IN BULK - IN THE SHELL","Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16342,"{'Pantry': '2-4 weeks', 'Refrigerator': '12 months', 'Freezer': '2 years'}","Shelf Life Tips
How long do almonds last in the shell? The exact answer depends to a large extent on storage conditions -because of their high oil content, almonds must be stored properly to avoid becoming rancid.
To maximize the shelf life of unshelled almonds, store in cool, dry area; after opening the package, place the almonds in a sealed airtight container or place original package in a resealable heavy-duty freezer bag.
How long do unshelled almonds last at room temperature? Properly stored, unshelled almonds will generally stay at best quality for 2 to 4 weeks at room temperature.
To further extend the shelf life of unshelled almonds, the almonds may be stored in the fridge or freezer; place almonds in a sealed airtight container or place original package in a resealable heavy-duty freezer bag.

How long do unshelled almonds last in the refrigerator? Properly stored, unshelled almonds will generally stay at best quality for about 12 months in the refrigerator.
How long do unshelled almonds last when stored in the freezer? Unshelled almonds will generally stay at best quality for about 2 years in the freezer; the freezer time shown is for best quality only - foods kept constantly frozen at 0°F will keep safe indefinitely.
Unshelled almonds can be thawed and refrozen repeatedly during the freezer time shown without any significant loss of flavor or texture.
How to tell if unshelled almonds are bad? Rancid almonds will often develop a bitter, unpleasant taste; if almonds develop an off odor or taste, or if mold appears, they should be discarded. "
"ALMONDS, COMMERCIALLY BAGGED OR PURCHASED IN BULK - OUT OF THE SHELL","Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16343,"{'Pantry': '2-4 weeks', 'Refrigerator': '9 months', 'Freezer': '1 year'}","Shelf Life Tips
The precise answer to the question ""How long do shelled almonds last?"" depends to a large extent on storage conditions -because of their high oil content, almonds must be stored properly to avoid becoming rancid. 

To maximize the shelf life of shelled almonds, store in cool, dry area; after opening the package, place the almonds in a sealed airtight container or place original package in a resealable heavy-duty freezer bag. 

To further extend the shelf life of shelled almonds, the almonds may be stored in the fridge or freezer; place almonds in a sealed airtight container or place original package in a resealable heavy-duty freezer bag. 

Almonds can be thawed and refrozen repeatedly during the freezer time shown without any significant loss of flavor or texture. 

How long do almonds last when stored in the freezer? The freezer time shown is for best quality only - foods kept constantly frozen at 0°F will keep safe indefinitely.

How to tell if almonds are bad? Rancid almonds will often develop a bitter, unpleasant taste; if almonds develops an off odor, flavor or appearance, they should be discarded. "
"ALMONDS, COMMERCIALLY CANNED OR BOTTLED - OPENED","Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16344,"{'Pantry': '1 month', 'Refrigerator': '4-6 months', 'Freezer': '9-12 months'}","Shelf Life Tips
How long do canned or bottled almonds last after opening? The precise answer to that question depends to a large extent on storage conditions - keep canned or bottled almonds in a cool, dry area. 
To maximize the shelf life of canned or bottled almonds after opening, keep the container tightly sealed.
How long do canned or bottled almonds last at room temperature once opened? Properly stored, canned or bottled almonds will last for about 1 month at normal room temperature after opening. 
Should you refrigerate canned or bottled almonds? To further extend the shelf life of canned or bottled almonds, keep them in the refrigerator. 
How long do canned or bottled almonds last in the refrigerator once opened? Canned or bottled almonds will keep well for about 6 months in the refrigerator after opening.
Can you freeze canned or bottled almonds? Yes, freeze canned or bottled almonds in airtight containers or heavy-duty freezer bags.
How long do canned or bottled almonds last in the freezer? Properly stored, canned or bottled almonds will maintain best quality for about 12 months, but will remain safe beyond that time.
The freezer time shown is for best quality only - canned or bottled almonds that have been kept constantly frozen at 0°F will keep safe indefinitely. 
Are canned or bottled almonds safe to use after the ""expiration"" date on the package? Yes, provided  they are properly stored, the package is undamaged and there are no signs of spoilage (see below)   -   commercially packaged canned or bottled almonds will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before,"" or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the canned or bottled almonds will remain at peak quality.
How to tell if canned or bottled almonds are bad or spoiled? The best way is to smell and look at the canned or bottled almonds: discard any that have an off smell or appearance; if mold appears, discard the canned or bottled almonds. "
"ALMONDS, COMMERCIALLY CANNED OR BOTTLED - UNOPENED","Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16345,{'Pantry': '12-18 months'},"Shelf Life Tips
How long do unopened canned or bottled almonds last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of canned or bottled almonds, store in a cool, dry area.
How long does an unopened can or bottle of almonds last at room temperature? Properly stored, an unopened canned or bottle of almonds will generally stay at best quality for about 12 to 18 months, although it will usually remain safe to use after that.  
Are unopened canned or bottled almonds safe to use after the ""expiration"" date on the can or package? Yes, provided they are properly stored and the package is undamaged  -  commercially packaged almonds will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the canned or bottled almonds will remain at peak quality.
Storage time shown is for best quality only - after that, the canned or bottled almonds' texture, color or flavor may change, but in most cases, they will still be safe to consume if they have been stored properly, the package is undamaged, and there are no signs of spoilage (see below).  
How can you tell if canned or bottled almonds are bad or spoiled? The best way is to smell and look at the canned or bottled almonds: if the almonds develop an off odor, flavor or appearance, or if mold appears, they should be discarded.
Discard all almonds from cans or packages that are leaking, rusting, bulging or severely dented. "
"ANGEL HAIR PASTA — COOKED, LEFTOVERS","Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16357,"{'Refrigerator': '3-5 days', 'Freezer': '1-2 months'}","Shelf Life Tips
How long does cooked angel hair pasta last? The precise answer to that question depends to a large extent on storage conditions - refrigerate angel hair pasta within two hours of cooking.

To maximize the shelf life of cooked angel hair pasta for safety and quality, refrigerate the angel hair pasta in shallow airtight containers or resealable plastic bags. 

How long does cooked angel hair pasta last in the refrigerator? Properly stored, cooked angel hair pasta will last for 3 to 5 days in the refrigerator.

How long can cooked angel hair pasta be left at room temperature? Bacteria grow rapidly at temperatures between 40 °F and 140 °F; cooked angel hair pasta should be discarded if left out for more than 2 hours at room temperature. 

To further extend the shelf life of cooked angel hair pasta, freeze it; freeze in covered airtight containers or heavy-duty freezer bags. 

Cooked angel hair pasta dishes containing sauce freeze best; cooked dry angel hair pasta may become overly mushy when thawed. 

How long does cooked angel hair pasta last in the freezer? Properly stored, it will maintain best quality for about 1 to 2 months, but will remain safe beyond that time.
 
The freezer time shown is for best quality only - cooked angel hair pasta that has been kept constantly frozen at 0°F will keep safe indefinitely. 

How long does cooked angel hair pasta last after being frozen and thawed? Cooked angel hair pasta that has been thawed in the fridge can be kept for an additional 3 to 4 days in the refrigerator before cooking; angel hair pasta that was thawed in the microwave or in cold water should be eaten immediately. 

How to tell if cooked angel hair pasta is bad? If cooked angel hair pasta develops an off odor, flavor or appearance, or if mold appears, it should be discarded; do not taste first. "
"ANGEL HAIR PASTA, DRY, UNCOOKED, COMMERCIALLY PACKAGED, SOLD UNREFRIGERATED— UNOPENED OR OPENED","Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16358,{'Pantry': '3 years'},"Shelf Life Tips
How long does a package of dry angel hair pasta last? The precise answer depends to a large extent on storage conditions  - to maximize the shelf life of dry angel hair pasta  store in a cool, dry area.
How long does a package of dry angel hair pasta last once opened? Properly stored, a package of dry angel hair pasta will generally stay at best quality for about 3 years at room temperature.
To maximize the shelf life of dry angel hair pasta, keep the package tightly closed at all times. 
To further maximize the shelf life of dry angel hair pasta once the package is opened, transfer dry angel hair pasta to a covered airtight container or place the dry angel hair pasta package in a resealable plastic freezer bag.
Is dry angel hair pasta safe to use after the ""expiration"" date on the package? Yes, provided  it is properly stored and the package is undamaged  -  commercially packaged dry angel hair pasta will typically carry a "" Best By,"" ""Best if Used By,"" ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the dry angel hair pasta will remain at peak quality.
Storage time shown is for best quality only - after that, the dry angel hair pasta's texture, color or flavor may change, but in most cases, it will still be safe to consume if it has been stored properly, the package is undamaged, and there are no signs of spoilage (see below).  
How can you tell if dry angel hair pasta is bad or spoiled? The best way is to smell and look at the dry angel hair pasta: if the dry angel hair pasta develops an off odor, flavor or appearance, or if mold or insects appear, it should be discarded. "
"ANGEL HAIR PASTA, FRESH, SOLD REFRIGERATED — OPENED PACKAGE","Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16359,"{'Refrigerator': '3-4 days', 'Freezer': '1-2 months (best quality)'}","Shelf Life Tips
How long does an opened package of fresh angel hair pasta last? The exact answer to that question depends to a large extent on storage conditions  - keep fresh angel hair pasta refrigerated at all times.
How long does an opened package of fresh angel hair pasta last in the refrigerator? After fresh angel hair pasta is opened, it will typically keep well for about 3 to 4 days.
Can you freeze fresh angel hair pasta? Yes, to freeze: Place fresh angel hair pasta in covered airtight containers or heavy-duty freezer bags. 
How long does fresh angel hair pasta last in the freezer? Properly stored, fresh angel hair pasta will maintain best quality for about 1 to 2 months in the freezer, but will remain safe beyond that time.
The freezer time shown is for best quality only - fresh angel hair pasta that has been kept constantly frozen at 0°F will keep safe indefinitely. 

How to tell if fresh angel hair pasta is bad? The best way is to smell and look at the fresh angel hair pasta: if fresh angel hair pasta develops an off odor, flavor or appearance, or if mold appears, it should be discarded. "
"ANGEL HAIR PASTA, FRESH, SOLD REFRIGERATED — UNOPENED PACKAGE","Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16360,"{'Refrigerator': '2-3 days after ""sell by"" date on package', 'Freezer': '1-2 months (best quality)'}","Shelf Life Tips
How long does an unopened package of fresh angel hair pasta last? The exact answer to that question depends to a large extent on storage conditions  - keep fresh angel hair pasta refrigerated at all times.

How long does an unopened packaged of fresh angel hair pasta last in the refrigerator? Unopened fresh angel hair pasta may be kept refrigerated for about 2 to 3 days after the ""sell-by"" date on the package if it has been properly stored.
To maximize the shelf life of fresh angel hair pasta, do not open the package until ready to use.
Can you freeze fresh angel hair pasta? Yes, to freeze: Place fresh angel hair pasta in covered airtight containers or heavy-duty freezer bags. 
How long does fresh angel hair pasta last in the freezer? Properly stored, unopened fresh angel hair pasta will maintain best quality for about 1 to 2 months in the freezer, but will remain safe beyond that time.
The freezer time shown is for best quality only - fresh angel hair pasta that has been kept constantly frozen at 0°F will keep safe indefinitely. 
How to tell if fresh angel hair pasta is bad? The best way is to smell and look at the fresh angel hair pasta: if fresh angel hair pasta develops an off odor, flavor or appearance, or if mold appears, it should be discarded. "
"BAKED BEANS, IN SAUCE (INCLUDING MOLASSES, BROWN SUGAR, TOMATO ), COMMERCIALLY CANNED OR BOTTLED - OPENED","Nuts, Grains & Pasta",https://www.stilltasty.com/Fooditems/index/16469,"{'Refrigerator': '3-4 days', 'Freezer': '1-2 months'}","Shelf Life Tips
How long does a can of baked beans last once opened? The precise answer depends to a large extent on storage conditions - keep opened baked beans refrigerated and tightly covered.
To maximize the shelf life of canned baked beans after opening, refrigerate in covered glass or plastic container.
How long do opened canned baked beans last in the refrigerator? Canned baked beans that have been continuously refrigerated will keep for about 3 to 4 days.  
Are canned baked beans safe to use after the ""expiration"" date on the package? Yes, provided they have been stored properly, the can or package is undamaged, and there are no signs of spoilage (see below) - commercially canned baked beans will typically carry a ""Best By,"" ""Best if Used By,""  ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the baked beans will remain at peak quality.
To further extend the shelf life of opened canned baked beans, freeze them: to freeze canned baked beans, place inside covered airtight containers or heavy-duty freezer bags.
The texture of canned baked beans will be softer after freezing and thawing; the thawed baked beans will be best suited to cooked dishes, such as sauces, soups and casseroles.
How long do canned baked beans last in the freezer? Properly stored, they will maintain best quality for about 2 months, but will remain safe beyond that time.
The freezer time shown is for best quality only - baked beans that have been kept constantly frozen at 0°F will keep safe indefinitely. 
How long do canned baked beans last after being frozen and thawed? Baked beans that have been defrosted in the fridge can be kept for an additional 3 to 4 days in the refrigerator before using; baked beans that were thawed in the microwave or in cold water should be used immediately. 
How can you tell if opened canned baked beans are bad or spoiled? The best way is to smell and look at the baked beans: if the baked beans develop an off odor, flavor or appearance, or if mold appears, they should be discarded.
Discard all baked beans from cans or packages that are leaking, rusting, bulging or severely dented. "
