item_name,category,url,shelf_life,food_tips
"ANGEL FOOD CAKE, FRESHLY BAKED, HOMEMADE OR BAKERY",Snacks & Baked Goods,https://www.stilltasty.com/Fooditems/index/16355,"{'Pantry': '1-2 days*', 'Refrigerator': '7 days', 'Freezer': '4-6 months'}","Shelf Life Tips
How long does angel food cake last? The precise answer to that question depends to a large extent on storage conditions - keep freshly baked angel food cake in a dry area. 
To maximize the shelf life of angel food cake, cover with foil or plastic wrap to prevent drying out.
Properly stored, freshly baked angel food cake will last for about 1 to 2 days at normal room temperature. 
*Refrigerate immediately any cake that contains frosting or filling made with dairy products or eggs, such as buttercream, whipped cream or custard frostings or fillings.  
How long does angel food cake last in the fridge? Freshly baked angel food cake will keep well for about 1 week in the fridge when properly stored; when refrigerating, cover with foil or plastic wrap to prevent cake from drying out.
Can you freeze angel food cake? Yes, to freeze: wrap angel food cake tightly with aluminum foil or plastic freezer wrap, or place in heavy-duty freezer bag.

How long does angel food cake last in the freezer? Properly stored, it will maintain best quality for about 4 to 6 months, but will remain safe beyond that time.

The freezer time shown is for best quality only - angel food cake that has been kept constantly frozen at 0°F will keep safe indefinitely. 

How to tell if angel food cake is bad or spoiled? The best way is to smell and look at the angel food cake: discard any that has an off smell or appearance; if mold appears, discard the angel food cake. "
"APPLE JELLY, COMMERCIALLY JARRED - OPENED",Snacks & Baked Goods,https://www.stilltasty.com/Fooditems/index/16369,{'Refrigerator': '1 year (best quality)'},"Shelf Life Tips
How long does apple jelly last once opened? The precise answer depends to a large extent on storage conditions  - to maximize the shelf life of opened apple jelly, keep it refrigerated and tightly covered.

How long does opened apple jelly last in the refrigerator? Apple jelly that has been continuously refrigerated will generally stay at best quality for about 1 year.  

Is opened apple jelly safe to use after the expiration date on the jar? Yes, provided it has been stored properly, the jar is undamaged, and there are no signs of spoilage (see below) - commercially jarred apple jelly will typically carry a Best By,"" ""Best if Used By,"" Best Before, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the apple jelly will remain at peak quality.

The storage time shown for opened apple jelly is for best quality only - after that, the jelly's texture, color or flavor may change, but in most cases, it will still be safe to consume if it has been kept continuously refrigerated, the jar is undamaged, and there are no signs of spoilage (see below).

How can you tell if opened apple jelly is bad or spoiled? The best way is to smell and look at the apple jelly: if the jelly develops an off odor, flavor or appearance, or if mold appears, it should be discarded. "
"APPLE JELLY, COMMERCIALLY JARRED - UNOPENED",Snacks & Baked Goods,https://www.stilltasty.com/Fooditems/index/16370,{'Pantry': '2 years (best quality)'},"Shelf Life Tips
How long does an unopened jar of apple jelly last? The precise answer depends to a large extent on storage conditions  -to maximize shelf life, store in a cool, dry area.
How long does an unopened jar of apple jelly last at room temperature? Properly stored, an unopened jar of apple jelly will generally stay at best quality for about 2 years.
Is unopened apple jelly safe to use after the expiration date on the jar? Yes, provided it is properly stored and the jar is undamaged  -  commercially packaged apple jelly will typically carry a Best By,"" ""Best if Used By,"" Best Before, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the apple jelly will remain at peak quality.
Storage time shown is for best quality only - after that, the apple jelly's texture, color or flavor may change, but in most cases, it will still be safe to consume if it has been stored properly, the jar is undamaged, and there are no signs of spoilage (see below).  
How can you tell if apple jelly is bad or spoiled? The best way is to smell and look at the apple jelly: if the jelly develops an off odor, flavor or appearance, or if mold appears, it should be discarded. "
APPLE PIE — UNBAKED,Snacks & Baked Goods,https://www.stilltasty.com/Fooditems/index/16377,"{'Refrigerator': '1-2 days', 'Freezer': '2-4 months'}","Shelf Life Tips
Keep refrigerated; cover unbaked pie loosely with aluminum foil or plastic wrap. To freeze, wrap unbaked pie tightly with aluminum foil or plastic freezer wrap, or place in freezer bag. Freezer time shown is for best quality only — foods kept constantly frozen at 0° F will keep safe indefinitely. "
"APPLE PIE FILLING, COMMERCIALLY CANNED OR BOTTLED - OPENED",Snacks & Baked Goods,https://www.stilltasty.com/Fooditems/index/16378,{'Refrigerator': '2 weeks'},"Shelf Life Tips
How long does apple pie filling last once opened? The precise answer depends to a large extent on storage conditions - keep opened apple pie filling refrigerated and tightly covered.
To maximize the shelf life of apple pie filling after opening, refrigerate in a covered glass or plastic container.
How long does opened apple pie filling last in the refrigerator? Apple pie filling that has been continuously refrigerated will keep for about 2 weeks.  
Is apple pie filling safe to use after the ""expiration"" date on the package? Yes, provided it has been stored properly, the package is undamaged, and there are no signs of spoilage (see below) - commercially packaged apple pie filling will typically carry a ""Best By,"" ""Best if Used By,""  ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the apple pie filling will remain at peak quality.
How can you tell if opened apple pie filling is bad or spoiled? The best way is to smell and look at the apple pie filling: if the apple pie filling develops an off odor, flavor or appearance, or if mold appears, it should be discarded.
Discard all apple pie filling from cans or packages that are leaking, rusting, bulging or severely dented. "
"APPLE PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",Snacks & Baked Goods,https://www.stilltasty.com/Fooditems/index/16379,{'Pantry': '3 years'},"Shelf Life Tips
How long does unopened apple pie filling last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of apple pie filling, store in a cool, dry area.
How long does unopened apple pie filling last at room temperature? Properly stored, unopened apple pie filling will generally stay at best quality for about 3 years, although it will usually remain safe to use after that.  
Is unopened apple pie filling safe to use after the ""expiration"" date on the can or package? Yes, provided it is properly stored and the package is undamaged  -  commercially packaged apple pie filling will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the apple pie filling will remain at peak quality.
Storage time shown is for best quality only - after that, the apple pie filling's texture, color or flavor may change, but in most cases, it will still be safe to consume if it has been stored properly, the package is undamaged, and there are no signs of spoilage (see below).  
How can you tell if apple pie filling is bad or spoiled? The best way is to smell and look at the apple pie filling: if the apple pie filling develops an off odor, flavor or appearance, or if mold appears, it should be discarded.
Discard all apple pie filling from cans or packages that are leaking, rusting, bulging or severely dented. "
"APPLE PIE, FRESHLY BAKED - HOMEMADE OR BAKERY",Snacks & Baked Goods,https://www.stilltasty.com/Fooditems/index/16376,"{'Pantry': '2 days', 'Refrigerator': '4-5 days', 'Freezer': '6-8 months'}","Shelf Life Tips
How long does apple pie last? The precise answer to that question depends to a large extent on storage conditions - keep freshly baked apple pie in a dry area. 
To maximize the shelf life of apple pie, cover loosely with foil or plastic wrap.
How long does apple pie last at room temperature? Properly stored, freshly baked apple pie will last for about 2 days at normal room temperature. 
How long does apple pie last in the fridge? Freshly baked apple pie will keep well for about 4 to 5 days in the refrigerator; cover loosely with foil or plastic wrap.
Can you freeze apple pie? Yes, to freeze: wrap apple pie tightly with aluminum foil or plastic freezer wrap, or place in heavy-duty freezer bag.
How long does apple pie last in the freezer? Properly stored, it will maintain best quality for about 6 to 8 months, but will remain safe beyond that time.

The freezer time shown is for best quality only - apple pie that has been kept constantly frozen at 0° F will keep safe indefinitely. 

How to tell if apple pie is bad or spoiled? The best way is to smell and look at the apple pie: discard any that has an off smell or appearance; if mold appears, discard the apple pie. "
"APRICOT JAM, COMMERCIALLY JARRED - OPENED",Snacks & Baked Goods,https://www.stilltasty.com/Fooditems/index/16390,{'Refrigerator': '1 year (best quality)'},"Shelf Life Tips
How long does apricot jam last once opened? The precise answer depends to a large extent on storage conditions  - to maximize the shelf life of opened apricot jam, keep it refrigerated and tightly covered.

How long does opened apricot jam last in the refrigerator? Apricot jam that has been continuously refrigerated will generally stay at best quality for about 1 year.  

Is opened apricot jam safe to use after the expiration date on the jar? Yes, provided it has been stored properly, the jar is undamaged, and there are no signs of spoilage (see below) - commercially jarred apricot jam will typically carry a Best By,"" ""Best if Used By,"" Best Before, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the apricot jam will remain at peak quality.

The storage time shown for opened apricot jam is for best quality only - after that, the jam's texture, color or flavor may change, but in most cases, it will still be safe to consume if it has been kept continuously refrigerated, the jar is undamaged, and there are no signs of spoilage (see below).

How can you tell if opened apricot jam is bad or spoiled? The best way is to smell and look at the apricot jam: if the jam develops an off odor, flavor or appearance, or if mold appears, it should be discarded. "
"APRICOT JAM, COMMERCIALLY JARRED - UNOPENED",Snacks & Baked Goods,https://www.stilltasty.com/Fooditems/index/16391,{'Pantry': '2 years (best quality)'},"Shelf Life Tips
How long does an unopened jar of apricot jam last? The precise answer depends to a large extent on storage conditions  -to maximize shelf life, store in a cool, dry area.
How long does an unopened jar of apricot jam last at room temperature? Properly stored, an unopened jar of apricot jam will generally stay at best quality for about 2 years.
Is unopened apricot jam safe to use after the expiration date on the jar? Yes, provided it is properly stored and the jar is undamaged  -  commercially packaged apricot jam will typically carry a Best By,"" ""Best if Used By,"" Best Before, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the apricot jam will remain at peak quality.
Storage time shown is for best quality only - after that, the apricot jam's texture, color or flavor may change, but in most cases, it will still be safe to consume if it has been stored properly, the jar is undamaged, and there are no signs of spoilage (see below).  
How can you tell if apricot jam is bad or spoiled? The best way is to smell and look at the apricot jam: if the jam develops an off odor, flavor or appearance, or if mold appears, it should be discarded. "
APRICOT PIE - FRESHLY BAKED,Snacks & Baked Goods,https://www.stilltasty.com/Fooditems/index/16394,"{'Pantry': '2 days', 'Refrigerator': '2-3 days after pantry storage', 'Freezer': '6-8 months'}","Shelf Life Tips
Baked fruit pies may be kept at room temperature for up to two days; if sliced, cover loosely with foil or plastic wrap. Fruit pies will keep for an additional 2-3 days in the refrigerator, loosely covered with foil or plastic wrap. To freeze, wrap pie tightly with aluminum foil or plastic freezer wrap, or place in heavy-duty freezer bag. Freezer time shown is for best quality only - foods kept constantly frozen at 0°F will keep safe indefinitely. "
