item_name,category,url,shelf_life,food_tips
"ALFALFA SPROUTS - FRESH, RAW",Vegetables,https://www.stilltasty.com/Fooditems/index/16336,{'Refrigerator': '2-3 days'},"Shelf Life Tips
How long do alfalfa sprouts last? The precise answer to that question depends to a large extent on storage conditions - keep alfalfa sprouts refrigerated. 
To maximize the shelf life of alfalfa sprouts, refrigerate in plastic bag. 
How long do alfalfa sprouts last in the fridge? Properly stored, alfalfa sprouts will last for 2 to 3 days in the refrigerator. 
Can you freeze alfalfa sprouts? Alfalfa sprouts do not freeze well and freezing is not recommended for quality purposes.
How to tell if alfalfa sprouts are bad or spoiled? The best way is to smell and look at the alfalfa sprouts: discard any alfalfa sprouts that have an off smell or appearance; if mold appears, discard the alfalfa sprouts. "
ANCHO PEPPERS (DRIED POBLANOS) — WHOLE,Vegetables,https://www.stilltasty.com/Fooditems/index/16350,{'Pantry': '1 year'},"Shelf Life Tips
Store in airtight container away from direct sunlight. "
ARTICHOKES - COMMERCIALLY FROZEN,Vegetables,https://www.stilltasty.com/Fooditems/index/16413,{'Freezer': '10-12 months (best quality)'},"Shelf Life Tips
How long do frozen artichokes last? The precise answer to that question depends to a large extent on storage conditions - keep artichokes frozen at all times.

Properly stored, frozen artichokes will maintain best quality for about 12 months in the freezer, although they will usually remain safe to eat after that.  

Are frozen artichokes safe to eat after the ‘expiration’ date on the package? Yes, if properly stored  -  commercially frozen artichokes will typically carry a Best By, Best if Used By, Best Before, or Best When Used By date but this is not a safety date, it is the manufacturer's estimate of how long the frozen artichokes will remain at peak quality.
 
How long will frozen artichokes remain safe to eat? Frozen artichokes that have been kept constantly frozen at 0°F will keep safe indefinitely, as long as they have been stored properly and the package is not damaged.

How to tell if frozen artichokes are no longer good?  If dry spots or discolorations have developed on the frozen artichokes, freezer burn has begun to set in - this will not make the frozen artichokes unsafe to eat, but it will harm the texture and taste. "
"ARTICHOKES - FRESH, COOKED",Vegetables,https://www.stilltasty.com/Fooditems/index/16414,"{'Refrigerator': '3-5 days', 'Freezer': '10-12 months'}","Shelf Life Tips
How long do cooked artichokes last in the fridge or freezer? The exact answer to that question depends to a large extent on storage conditions - refrigerate artichokes within two hours of cooking.

To maximize the shelf life of cooked artichokes for safety and quality, refrigerate the artichokes in shallow airtight containers or wrap tightly with heavy-duty aluminum foil or plastic wrap. 

Properly stored, cooked artichokes will last for 3 to 5 days in the refrigerator.

To further extend the shelf life of cooked artichokes, freeze them; freeze in covered airtight containers or heavy-duty freezer bags. 

Before freezing, sprinkle cooked artichokes with a small amount of lemon juice to prevent darkening.

How long do cooked artichokes last in the freezer? Properly stored, they will maintain best quality for 10 to 12 months, but will remain safe beyond that time.
 
The freezer time shown is for best quality only - cooked artichokes that have been kept constantly frozen at 0°F will keep safe indefinitely. 

How long do cooked artichokes last after being frozen and thawed? Cooked artichokes that havw been thawed in the fridge can be kept for an additional 3 to 4 days in the refrigerator before cooking; artichokes that were thawed in the microwave or in cold water should be eaten immediately. 

How long can cooked artichokes be left at room temperature? Bacteria grow rapidly at temperatures between 40 °F and 140 °F; cooked artichokes should be discarded if left out for more than 2 hours at room temperature. 

How to tell if cooked artichokes are bad? The best way is to smell and look at the artichokes: discard any that have an off smell or appearance, do not taste first. "
"ARTICHOKES - FRESH, RAW",Vegetables,https://www.stilltasty.com/Fooditems/index/16415,"{'Refrigerator': '5-7 days', 'Freezer': '10-12 months'}","Shelf Life Tips
How long do artichokes last? The precise answer to that question depends to a large extent on storage conditions - keep artichokes refrigerated. 
To maximize the shelf life of artichokes, sprinkle artichokes with a little water and seal in a plastic bag before refrigerating. 
How long do artichokes last in the fridge? Properly stored, artichokes will last for 5 to 7 days in the refrigerator. 
Can you freeze artichokes? Yes, to freeze: (1) Wash and cook artichokes; (2) Sprinkle cooked artichokes with a small amount of lemon juice to prevent darkening; (3) Place in covered airtight containers or heavy-duty freezer bags and freeze. 
How long do artichokes last in the freezer? Properly stored, artichokes will maintain best quality in the freezer for about 10 to 12 months, but will remain safe beyond that time. 
The freezer time shown is for best quality only – artichokes that have been kept constantly frozen at 0°F will keep safe indefinitely.
How to tell if artichokes are bad or spoiled? The best way is to smell and look at the artichokes: discard any artichokes that have an off smell or appearance; if mold appears, discard the artichokes. "
"ARTICHOKES, COMMERCIALLY CANNED OR BOTTLED - OPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/16416,"{'Refrigerator': '3-4 days', 'Freezer': '1-2 months'}","Shelf Life Tips
How long does a can of artichokes last once opened? The precise answer depends to a large extent on storage conditions - keep opened artichokes refrigerated and tightly covered.
To maximize the shelf life of canned artichokes after opening, refrigerate in covered glass or plastic container.
How long do opened canned artichokes last in the refrigerator? Canned artichokes that have been continuously refrigerated will keep for about 3 to 4 days.  
Are canned artichokes safe to use after the ""expiration"" date on the package? Yes, provided they have been stored properly, the can or package is undamaged, and there are no signs of spoilage (see below) - commercially canned artichokes will typically carry a ""Best By,"" ""Best if Used By,""  ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the artichokes will remain at peak quality.
To further extend the shelf life of opened canned artichokes, freeze them: to freeze canned artichokes, place inside covered airtight containers or heavy-duty freezer bags.
The texture of canned artichokes will be softer after freezing and thawing; the thawed artichokes will be best suited to cooked dishes, such as sauces, soups and casseroles.
How long do canned artichokes last in the freezer? Properly stored, they will maintain best quality for about 2 months, but will remain safe beyond that time.
The freezer time shown is for best quality only - artichokes that have been kept constantly frozen at 0°F will keep safe indefinitely. 
How long do canned artichokes last after being frozen and thawed? Artichokes that have been defrosted in the fridge can be kept for an additional 3 to 4 days in the refrigerator before using; artichokes that were thawed in the microwave or in cold water should be used immediately. 
How can you tell if opened canned artichokes are bad or spoiled? The best way is to smell and look at the artichokes: if the artichokes develop an off odor, flavor or appearance, or if mold appears, they should be discarded.
Discard all artichokes from cans or packages that are leaking, rusting, bulging or severely dented. "
"ARTICHOKES, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/16417,{'Pantry': '3-5 years (best quality)'},"Shelf Life Tips
How long do unopened canned artichokes last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of canned artichokes, store in a cool, dry area.
How long does an unopened can of artichokes last at room temperature? Properly stored, an unopened can of artichokes will generally stay at best quality for about 3 to 5 years, although it will usually remain safe to use after that.  
Are unopened canned artichokes safe to use after the ""expiration"" date on the can or package? Yes, provided they are properly stored and the can is undamaged  -  commercially packaged canned artichokes will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the canned artichokes will remain at peak quality.
Storage time shown is for best quality only - after that, the canned artichokes' texture, color or flavor may change, but in most cases, they will still be safe to consume if they have been stored properly, the can is undamaged, and there are no signs of spoilage (see below).  
How can you tell if canned artichokes are bad or spoiled? The best way is to smell and look at the canned artichokes: if the canned artichokes develop an off odor, flavor or appearance, or if mold appears, they should be discarded.
Discard all canned artichokes from cans or packages that are leaking, rusting, bulging or severely dented. "
"ARUGULA (ROCKET) — FRESH, RAW",Vegetables,https://www.stilltasty.com/Fooditems/index/16418,{'Refrigerator': '2-3 days'},"Shelf Life Tips
How long does arugula last in the fridge? The precise answer to that question depends to a large extent on storage conditions - after purchasing, keep arugula refrigerated at all times. 

To maximize the shelf life of arugula, refrigerate in a tightly closed plastic bag and do not wash the arugula until ready to eat.

How long does arugula last in the refrigerator? Properly stored, arugula will usually keep well for about 2 to 3 days in the fridge.

Can you freeze arugula? Arugula does not freeze well and freezing is not recommended for quality purposes.

How to tell if arugula is bad or spoiled? Arugula that is spoiling will typically become slimy and mushy and its color will deteriorate; discard arugula if it has an off smell or appearance. "
ASPARAGUS - COMMERCIALLY FROZEN,Vegetables,https://www.stilltasty.com/Fooditems/index/16421,{'Freezer': '10-12 months (best quality)'},"Shelf Life Tips
How long does frozen asparagus last? The precise answer to that question depends to a large extent on storage conditions - keep asparagus frozen at all times.

Properly stored, frozen asparagus will maintain best quality for about 12 months in the freezer, although it will usually remain safe to eat after that. 

Is frozen asparagus safe to eat after the expiration date on the package? Yes, if properly stored  -  commercially frozen asparagus will typically carry a “Best By,"" ""Best if Used By,"" “Best Before”, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the frozen asparagus will remain at peak quality.
 
How long will frozen asparagus remain safe to eat? Frozen asparagus that has been kept constantly frozen at 0°F will keep safe indefinitely, as long as it has been stored properly and the package is not damaged.

How to tell if frozen asparagus is no longer good?  If dry spots or discoloration have developed on the frozen asparagus, freezer burn has begun to set in - this will not make the asparagus unsafe to eat, but it will harm the texture and taste. "
"ASPARAGUS - FRESH, COOKED",Vegetables,https://www.stilltasty.com/Fooditems/index/16422,"{'Refrigerator': '3-5 days', 'Freezer': '10-12 months'}","Shelf Life Tips
How long does cooked asparagus last in the fridge or freezer? The exact answer to that question depends to a large extent on storage conditions - refrigerate asparagus within two hours of cooking.

To maximize the shelf life of cooked asparagus for safety and quality, refrigerate the asparagus in shallow airtight containers or wrap tightly with heavy-duty aluminum foil or plastic wrap. 

Properly stored, cooked asparagus will last for 3 to 5 days in the refrigerator.

To further extend the shelf life of cooked asparagus, freeze it; freeze in covered airtight containers or heavy-duty freezer bags, or wrap tightly with heavy-duty aluminum foil or freezer wrap. 

How long does cooked asparagus last in the freezer? Properly stored, it will maintain best quality for 10 to 12 months, but will remain safe beyond that time.
 
The freezer time shown is for best quality only - cooked asparagus that has been kept constantly frozen at 0°F will keep safe indefinitely. 

How long does cooked asparagus last after being frozen and thawed? Cooked asparagus that has been thawed in the fridge can be kept for an additional 3 to 4 days in the refrigerator before cooking; asparagus that was thawed in the microwave or in cold water should be eaten immediately. 

How long can cooked asparagus be left at room temperature? Bacteria grow rapidly at temperatures between 40 °F and 140 °F; cooked asparagus should be discarded if left out for more than 2 hours at room temperature. 

How to tell if cooked asparagus is bad? The best way is to smell and look at the asparagus: discard any beans with an off smell or appearance, do not taste first. "
